First;Second;Difference
0.737373737;0.826530612;-8
0.343434343;0.846938776;-49
0.212121212;0.693877551;-47
0.434343434;0.816326531;-37
0.272727273;0.612244898;-33
0.929292929;0.224489796;70
0.343434343;0.571428571;-22
0.96969697;0.5;47
0.303030303;0.928571429;-61
0.060606061;0.928571429;-85
0.838383838;0.091836735;74
0.777777778;0.918367347;-13
0.111111111;0.959183673;-83
0.949494949;1;-4
0.515151515;0.346938776;17
0.818181818;0.836734694;-1
0.515151515;0.5;2
0.050505051;0.755102041;-69
0.737373737;0.12244898;61
0.747474747;0.255102041;49
0.191919192;0.397959184;-20
0.252525253;0.020408163;23
0.414141414;0.071428571;34
0.676767677;0.040816327;63
0.181818182;0.653061224;-46
0.565656566;0.163265306;40
0.01010101;0.867346939;-84
0.939393939;0.612244898;33
0.141414141;0.397959184;-25
0.747474747;0.806122449;-5
0.767676768;0.969387755;-19
0.868686869;0.928571429;-5
0.898989899;0.714285714;19
0.191919192;0.846938776;-64
0.212121212;0;21
0.919191919;0.591836735;33
0.242424242;0.12244898;12
0.606060606;0.091836735;51
0.404040404;0.346938776;6
0.404040404;0.704081633;-29
0.545454545;0.020408163;52
0.050505051;0.632653061;-57
0.060606061;0.43877551;-37
1;0.591836735;41
0.929292929;0.479591837;45
0;0.193877551;-19
0.696969697;0.265306122;43
0.343434343;0.275510204;7
0.565656566;0.795918367;-22
0.424242424;0.857142857;-42
0.515151515;0.183673469;33
0.555555556;0.479591837;8
0.909090909;0.510204082;40
0.131313131;0.255102041;-12
0.373737374;0.265306122;11
0.353535354;0.102040816;25
0.282828283;0.693877551;-40
0.858585859;0.306122449;55
0.97979798;0.918367347;7
0.292929293;0.183673469;11
0.747474747;0.653061224;10
0.464646465;0.010204082;45
0.565656566;0.571428571;0
0.595959596;0.693877551;-9
0.898989899;0.602040816;30
0.373737374;0.37755102;0
0.797979798;0.775510204;3
0.02020202;0.479591837;-45
0;0.520408163;-51
0.404040404;0.357142857;5
0.535353535;0.826530612;-28
0.797979798;0.43877551;36
0.848484848;0.979591837;-12
0.262626263;0.5;-23
0.282828283;0.204081633;8
0.323232323;0.489795918;-16
0.777777778;0.806122449;-2
0.828282828;0.040816327;78
0.757575758;0.571428571;19
0.171717172;0.979591837;-79
0.080808081;0.367346939;-28
0.737373737;0.295918367;44
0.232323232;0.653061224;-41
0.808080808;0.469387755;34
0.252525253;0.62244898;-36
0.303030303;0.153061224;15
0.535353535;0.071428571;46
0.050505051;0.591836735;-53
0.96969697;0.989795918;-1
0.272727273;0.489795918;-21
0.95959596;0.459183673;50
0.686868687;0.071428571;61
0.939393939;0.102040816;83
0.666666667;0.163265306;50
0.757575758;0.428571429;33
0.717171717;0.642857143;8
0.191919192;0.193877551;0
0.212121212;0.448979592;-23
0.242424242;0.214285714;3
0.686868687;0.918367347;-22
