V1,V2,V3,V4,V5,Class
-0.41886,-0.645713,1.489951,1.641453,-1.144084,2
-0.45261,2.421733,-1.452235,-0.801753,-0.398778,1
-0.617967,-0.638607,0.318475,0.564834,-0.136583,2
2.746129,-1.802384,-0.945815,-0.387828,-0.265349,1
-0.183305,-0.466579,0.644139,0.537706,-1.519981,2
0.19601,0.843602,-1.294155,1.479978,-0.973733,1
0.002619,0.851909,-1.264216,-0.685587,0.139693,1
1.166728,0.204092,-0.266362,-0.070068,0.9938,1
0.674606,-0.041567,-0.47335,-0.227721,-0.310685,1
-1.071586,-1.916357,-1.281745,0.601321,3.083228,1
-0.859652,-1.088427,-0.368493,-1.377848,3.204732,2
-0.641711,-0.50111,-0.040751,2.369811,-1.457377,2
-0.105253,-0.108966,1.264045,0.42305,2.095998,2
-0.743964,-0.731994,-0.036799,1.711934,-1.395582,1
-0.585373,-0.750885,0.508927,-1.15053,-0.136583,2
0.416982,1.119776,0.463737,0.327546,-0.834047,1
-0.67081,-0.283819,1.541321,-1.52229,-0.136583,1
-0.551305,-0.392041,1.763045,0.83473,0.591426,1
-0.377898,1.390428,-1.304123,-0.208464,-0.370089,1
-0.269056,-0.959954,1.551619,1.074457,2.069053,2
-0.660903,-0.346777,0.963201,-1.446546,2.130987,2
0.293369,-0.377053,0.00486,-0.066711,0.245231,1
-0.178498,-0.752657,1.161423,0.839463,0.84111,2
0.071627,1.038806,-0.236065,-0.116003,-0.542612,1
-0.52708,0.550484,0.068563,-0.016398,-0.487348,1
-0.696288,-0.375405,0.108093,1.553497,-0.136583,2
-0.335927,-1.176975,0.929282,0.635946,-1.027937,2
-0.885438,-1.084878,0.002516,-0.764614,-0.669756,2
2.729558,-1.79053,-0.710578,-0.380244,-0.285708,1
-0.522224,1.425749,1.5224,-1.038929,-0.466256,2
0.188886,1.11564,-0.173353,1.382995,-0.898824,1
-0.657058,-0.3041,1.449396,-1.704738,-0.771108,1
-0.353266,0.814826,0.474327,-0.934306,-0.441997,1
0.877103,1.785677,-1.267831,-0.167778,0.334167,1
-0.658759,0.591304,0.958285,0.856563,-1.017513,1
-0.600961,-0.764064,-0.31402,1.291147,-1.545644,2
0.802632,0.406734,-0.116728,0.504497,1.499814,1
-0.320112,0.966085,0.150735,0.255995,-0.839273,2
-0.52559,0.515645,0.049339,-0.03364,-0.136583,1
0.667165,0.821629,0.148007,0.271098,1.721342,2
2.398919,-1.078165,-0.530411,-0.315302,-0.268213,1
-0.419452,-0.64731,0.416861,1.403384,-1.023675,2
-0.523255,-0.13605,1.54587,-1.178357,-1.139839,2
0.076351,1.893661,-1.273673,-0.717511,-0.340264,1
-0.780645,-0.726528,0.185257,2.134868,-1.39004,2
-0.679626,-0.150279,-0.198777,1.907218,-0.136583,2
-1.021568,-1.779541,-1.310705,-1.697733,-0.136583,2
-0.220574,-0.304533,1.051657,1.053717,2.058456,2
0.300112,-1.08576,-1.968168,1.377785,2.020098,2
-0.769317,-0.855301,0.193918,1.478032,-1.059789,1
