V1,V2,V3,V4,V5,Class
0.553823,-0.189665,-1.668229,-1.249093,-0.685406,1
-0.660158,-0.141079,2.535399,-1.544766,-0.136583,1
-0.757811,-0.176658,1.016982,-1.107165,-0.486269,1
-0.75511,-0.160173,0.880969,-1.090817,-0.491231,1
-0.565511,0.453241,0.829977,0.300258,-0.136583,1
0.000655,0.968564,-0.295023,-0.145701,-0.467262,1
0.134145,2.067209,-1.349052,-0.208018,0.873025,1
1.85755,-0.032825,-1.129496,-0.336295,0.346117,1
-0.440401,0.198863,1.516576,-1.263376,0.579047,1
-0.876485,-1.132677,-0.453805,-1.279776,-0.136583,1
2.146826,-0.746456,-0.346848,0.820393,-0.648817,1
-0.471986,0.381647,0.68639,0.2168,-0.931391,1
-0.44121,-0.330898,2.124422,1.119478,-0.854611,1
-0.782606,-0.661448,1.066051,-0.500597,-0.136583,1
-0.502402,-0.474365,1.910317,-1.299249,-1.084729,1
-0.358629,1.790906,-1.391134,-0.067745,-0.407433,1
-0.354559,1.195635,-1.419858,-0.738447,0.092904,1
-0.427813,1.370594,0.603423,0.359712,-0.136583,1
-0.72042,-0.81502,0.254559,1.957674,-1.188037,1
-0.687508,-0.306381,1.590185,-1.317941,-0.651253,1
-0.764065,-0.840439,-0.279395,-1.482918,3.532691,1
-0.688566,-0.240896,-0.492776,0.101285,0.811225,1
0.500151,2.04754,-1.290786,-0.715742,-0.359568,1
-0.427611,1.177845,0.543127,0.399896,-0.562622,1
-0.199746,2.295114,-1.348029,-0.780895,-0.390759,1
1.268564,-0.809534,-0.942723,-0.319041,-0.471204,1
-0.175154,0.926288,0.131884,-0.812528,-0.351959,1
-0.128641,1.131056,-1.415155,-0.736861,-0.136583,1
0.854278,0.263994,-0.128683,-0.736229,-0.342654,1
-0.443125,-0.959579,0.431492,0.951976,1.276193,1
1.51388,-0.229146,-0.984715,-0.355572,-0.244412,1
-0.288167,0.642969,0.567375,-0.964956,-0.405699,1
1.874354,-0.341721,-0.127961,0.781952,-0.676645,1
0.379065,1.685332,-1.275041,-0.718646,-0.318021,1
-0.839546,-1.085919,-0.27689,1.354647,-0.136583,1
-0.553105,-0.161794,1.770123,0.978692,-0.849602,1
-0.63876,-0.087933,1.680219,-1.264797,-0.136583,1
0.132525,2.21264,-1.458302,0.184049,0.478583,1
0.135873,1.151666,0.014843,0.835057,0.577631,1
-0.278129,-0.268697,1.478993,-0.992002,0.802722,1
-0.499338,0.825484,-0.102803,0.066449,-0.136583,1
-0.238549,0.515105,-1.303995,-0.705511,-0.318775,1
2.800069,-0.658572,-0.966708,-0.577747,-0.216652,1
1.410856,-0.732245,-0.931819,-0.402061,-0.039794,1
1.564827,-0.450744,-0.420071,-0.619596,-0.240873,1
-0.640853,0.308997,0.409568,-1.089428,0.450351,1
-0.814761,-0.530813,0.572011,1.711407,-0.136583,1
-0.859581,-1.03171,-0.229079,0.666409,-0.136583,1
-0.473368,0.571893,-1.226291,-0.730626,-0.316249,1
-0.810518,-0.928357,-1.758617,2.11345,-1.869512,1
0.283645,0.524564,-1.141219,-0.848173,2.957034,1
0.187063,-2.287426,-1.262505,-2.132887,-1.588234,1
1.168358,-0.577562,-0.615277,-0.313358,0.035385,1
1.269845,-1.186373,-0.912691,-0.373039,-0.258447,1
-0.729998,0.393609,1.674092,-1.371444,-0.136583,1
3.074218,-0.662559,-0.957571,-0.602766,-0.040356,1
1.416375,-0.031674,-1.04719,-0.371426,-0.246768,1
-0.855447,-0.997939,0.0673,0.341951,0.69448,1
-0.111144,1.385493,-1.34429,-0.123499,-0.639118,1
-0.736054,-0.60531,0.111341,1.080659,-1.140589,1
0.356986,-0.784294,-0.472961,-0.204031,-0.441488,1
-0.790184,-0.797708,0.72555,1.772723,-1.028348,1
0.816024,0.161545,-1.077403,-0.334029,-0.276489,1
-0.697243,-0.288742,1.680057,0.882349,-0.759776,1
3.156467,-1.798109,-0.630902,-0.59897,-0.01305,1
-0.324704,2.215472,-1.545313,-0.828575,-0.136583,1
-0.095822,2.254964,-1.627087,0.048233,0.187144,1
-0.369767,0.793911,-1.248117,-0.765277,-0.309813,1
0.441728,1.174461,-0.099101,-1.081045,1.229704,1
0.093409,0.757932,-1.270042,-0.03992,1.930247,1
2.081345,-0.025011,-0.42304,0.590883,-0.500828,1
-0.629301,-0.387638,1.522454,0.8997,-0.936368,1
-0.830649,-1.105849,-0.246699,-0.745461,-0.892059,1
-1.137285,1.094232,0.258892,-1.140521,-0.136583,1
-0.681403,-0.336133,1.524443,0.783847,-0.750311,1
1.60541,-0.877556,-0.708172,-0.3815,-0.220347,1
-1.107941,-0.374295,1.591611,0.984743,-0.854046,1
-0.644448,-0.257475,2.157294,-1.545763,0.994191,1
-0.541989,0.599647,-0.229826,-0.796724,-0.336464,1
-0.675433,-0.753256,1.892023,0.675297,0.589142,1
-0.713929,0.100938,1.142837,0.369351,-0.136583,1
0.107902,1.205423,-1.311669,-0.70059,-0.307987,1
-0.638071,-0.275359,2.084517,-1.572716,1.002329,1
-0.013755,-0.508328,0.254224,-0.84435,-0.136583,1
-0.67031,-0.167399,1.089132,-1.222718,-0.136583,1
0.32976,1.787816,-1.299678,-0.758001,-0.37107,1
-0.654719,-1.106193,-0.166903,2.292012,-1.516792,1
-0.002745,-0.193907,-1.072959,-0.321396,-0.306704,1
1.313433,-0.315999,-0.631211,-0.32473,0.097983,1
1.291226,1.100177,-1.133497,-0.673721,-0.304441,1
-0.463048,0.38784,-0.202048,-0.784563,-0.333056,1
-0.496213,0.778977,1.146835,-1.186049,-0.624576,1
-0.782395,-0.810326,-0.035312,2.291083,-1.246162,1
0.460732,-0.185059,-1.086493,-0.603166,-0.240667,1
1.627012,-0.886582,-0.654174,-0.376432,-0.290369,1
-0.788947,-1.073977,-0.437752,0.715785,3.085261,1
-0.700392,-0.219945,1.272819,-1.258192,-0.53,1
-0.382595,2.28307,-1.500475,-0.878591,-0.136583,1
-0.168385,1.22293,0.222454,-0.104855,-0.415888,1
-0.432782,-0.271058,1.286359,-1.459677,-0.841255,1
-0.446985,1.350137,0.769173,0.37972,-0.136583,1
-0.306924,1.102269,-1.190529,-0.250203,-0.389617,1
2.021711,-1.763551,-0.601145,-0.264793,-0.301443,1
1.461384,0.992464,-1.359988,0.253906,-0.530246,1
-0.771953,-0.264079,1.276591,-1.197072,-0.136583,1
0.771587,0.285955,-0.256734,0.018074,-0.46668,1
-0.59148,0.171697,0.815054,-1.066135,-0.579053,1
-0.015901,0.163413,-0.201299,-0.222004,0.221917,1
-0.668483,0.630996,1.45749,-1.444097,-0.582395,1
2.435775,-0.75932,-0.608944,-0.383389,0.001322,1
-0.819683,-0.858875,0.388928,2.381763,-0.136583,1
-0.530845,-0.663642,1.259172,0.501438,-0.774192,1
-0.569083,-0.059004,2.02314,-1.417147,-0.136583,1
-0.531664,1.3652,-1.365034,-0.857311,-0.472062,1
-0.454644,0.628482,-1.195514,-0.725755,-0.343627,1
-0.213466,1.610577,0.851913,0.087995,-0.490439,1
1.581887,0.136682,-1.051061,-0.604258,0.013944,1
2.678005,-1.793329,-0.935565,-0.587288,-0.239095,1
1.379391,-0.308193,-0.988252,-0.354055,-0.245539,1
0.509537,1.153088,-1.248944,-0.208438,-0.548616,1
-0.659488,0.068331,0.801039,-1.070319,-0.507738,1
0.048561,0.648398,-1.140631,-0.234463,-0.580962,1
-0.676189,-0.946234,0.890425,1.231262,1.065645,1
0.986928,0.720285,-1.147097,-0.295132,0.064494,1
-0.79122,-0.308479,1.586241,-1.405747,-0.624088,1
-0.741952,-0.382761,1.781782,0.711353,-0.849314,1
2.396194,-0.867703,-0.965326,-0.337489,-0.235757,1
3.578869,-1.762329,-0.298651,-0.65953,-0.251297,1
3.828575,-0.766269,-0.941616,-0.559184,-0.194491,1
-0.490887,-0.342555,1.920561,-1.492246,-0.714711,1
-0.636173,1.677036,-1.280891,0.083369,2.416678,1
-0.794913,-0.942313,-0.221611,0.345568,-0.136583,1
2.07692,-1.00476,-0.68483,-0.374859,-0.033525,1
-0.799598,-0.788455,0.817334,1.153525,-0.895139,1
0.297911,0.873765,-0.201331,1.333857,-0.753821,1
1.472633,0.766157,0.127645,-0.802293,0.130515,1
1.040169,0.593419,-0.420639,0.140444,0.8875,1
-0.378251,0.592503,0.519473,0.069369,0.189886,1
-0.422118,1.623232,-1.479012,-0.799656,-0.35085,1
2.53151,-1.026833,0.522585,-0.87806,-0.34226,1
-0.127584,0.587826,0.023219,-1.009064,2.673497,1
-1.083759,-0.274243,-1.059457,0.268844,-0.475408,1
1.760232,-0.713373,-0.941697,-0.339553,-0.226048,1
-1.093946,-0.117461,0.649693,0.250508,-0.630971,1
0.281561,2.2495,-1.508267,-0.799488,0.14458,1
0.575076,-0.031157,-0.358784,-0.029477,-0.81546,1
-0.654845,-1.106432,-0.167056,2.29166,-1.516672,1
3.074148,-0.917316,-0.971787,-0.364714,-0.007413,1
-0.15052,1.953457,-1.440271,-0.779317,-0.377776,1
-0.628823,-0.058264,1.925531,-1.469365,-0.791229,1
0.084955,0.322803,-0.516547,-0.351831,-0.016079,1
-0.726761,-0.092657,0.645987,-0.969075,-0.401417,1
-0.79349,-1.054891,-0.257779,1.948861,-1.29165,1
-0.7135,0.081891,0.686855,-1.010689,-0.136583,1
0.39524,1.601412,-1.217178,-0.700633,0.262494,1
0.211388,0.564091,0.135089,-0.036787,-1.176583,1
-0.738058,-0.384427,1.655128,-1.269181,-0.58501,1
-0.854454,-1.023839,-0.112338,0.252265,-0.927937,1
1.186583,-0.793741,-0.916654,-0.38653,-0.02843,1
2.410866,-1.084284,-0.946349,-0.594141,-0.015135,1
-0.649512,-0.781888,0.481242,1.009099,-0.136583,1
2.314561,-0.567653,-0.511269,-0.261242,0.83758,1
-0.210013,-0.068005,1.295328,-1.357195,-0.556585,1
0.455399,0.649185,0.141903,0.08095,0.385706,1
-0.089359,2.092308,-1.335776,-0.74084,0.191019,1
-0.667466,-0.084526,1.896475,-1.343851,2.05698,1
-0.846664,-0.798245,-0.159778,0.559879,-0.136583,1
-0.601064,0.366325,0.561951,-1.113238,-0.136583,1
-0.674975,-0.836655,-0.397054,0.634943,1.7121,1
-0.841511,-0.8605,-2.033262,1.70474,-0.136583,1
-1.042384,-0.219182,1.962325,-1.37761,-0.136583,1
0.282155,1.770155,-1.323117,-0.1416,1.13166,1
-0.534534,0.831065,-0.050492,-0.099852,-0.451924,1
1.195957,-1.165675,-0.909918,-0.388181,-0.276368,1
-0.863131,-0.877793,-2.182446,1.673153,-0.136583,1
-0.448153,1.503992,0.647576,-0.970508,-0.471044,1
-0.164947,0.180768,-0.48463,-0.2566,-0.381942,1
-0.533164,1.711992,0.162444,-1.096798,-0.466958,1
-0.690866,0.015162,0.928083,-1.079387,-0.136583,1
0.234841,1.192697,-1.388669,-0.739041,-0.34572,1
0.678461,1.705706,0.041045,-0.76999,-0.369839,1
-0.661723,-0.21004,1.419843,-1.149071,-0.591085,1
-0.053048,0.942855,-1.197645,-0.725343,-0.335785,1
1.876904,-1.152934,-0.715605,-0.396411,0.012634,1
-0.641265,0.109245,0.29213,-0.916804,0.240223,1
-0.122266,0.260727,-1.213326,-0.256918,-0.516176,1
-0.27475,1.146931,0.4265,0.1366,-0.444699,1
2.090382,-1.018849,-0.519864,-0.241423,-0.581817,1
0.01122,0.680652,-1.23849,-0.198846,-0.604686,1
-0.45261,2.421733,-1.452235,-0.801753,-0.398778,1
-0.456745,-2.707322,-2.003341,-1.058362,-0.63265,1
-0.634927,-0.444923,1.208568,1.208137,-0.922781,1
0.126444,0.713388,0.284566,-0.854259,-0.372623,1
0.356392,0.830853,-1.208766,-0.663642,0.097495,1
1.434705,0.0553,-1.007624,-0.275108,-0.244711,1
-0.809088,-0.591968,1.53353,-1.618177,-0.136583,1
-0.587413,0.286683,0.611603,-0.036994,-0.420949,1
-0.842342,-0.762361,-0.240645,0.240976,1.16541,1
-0.127305,2.23634,-1.251515,-0.820675,1.014114,1
0.181036,-0.22065,-1.035606,-0.599172,-0.237737,1
-0.80466,-1.066584,-0.197556,2.141697,-1.223451,1
0.550796,-0.252928,-1.219371,-0.33253,-0.136583,1
1.026428,-0.511613,-1.268183,1.797467,-0.902698,1
0.791931,1.024319,-1.268846,-0.094534,1.257861,1
-1.076971,-0.825583,0.212283,1.543416,-1.635543,1
3.32857,-1.016956,-0.997835,-0.617848,-0.239472,1
2.544424,-1.851206,-0.648584,-0.342697,0.02534,1
