bedrooms;bathrooms;stories;mainroad;guestroom;basement;hotwaterheating;airconditioning;parking;prefarea;furnishingstatus;area;price
4;2;3;1;0;0;0;1;2;1;2;7420;13300000
4;4;4;1;0;0;0;1;3;0;2;8960;12250000
3;2;2;1;0;1;0;0;2;1;1;9960;12250000
4;2;2;1;0;1;0;1;3;1;2;7500;12215000
4;1;2;1;1;1;0;1;2;0;2;7420;11410000
3;3;1;1;0;1;0;1;2;1;1;7500;10850000
4;3;4;1;0;0;0;1;2;1;1;8580;10150000
5;3;2;1;0;0;0;0;0;0;0;16200;10150000
4;1;2;1;1;1;0;1;2;1;2;8100;9870000
3;2;4;1;1;0;0;1;1;1;0;5750;9800000
3;1;2;1;0;1;0;1;2;1;2;13200;9800000
4;3;2;1;1;1;1;0;2;0;1;6000;9681000
4;2;2;1;0;0;0;1;1;1;1;6550;9310000
4;2;2;1;0;0;1;0;2;0;2;3500;9240000
3;2;2;1;0;0;0;0;0;1;1;7800;9240000
4;1;2;1;0;1;0;0;2;0;1;6000;9100000
4;2;2;1;1;1;0;1;1;1;0;6600;9100000
3;2;4;1;0;0;0;1;2;0;2;8500;8960000
3;2;2;1;1;0;0;1;2;0;2;4600;8890000
3;2;2;1;0;0;0;1;1;1;1;6420;8855000
3;1;2;1;0;1;1;0;2;0;1;4320;8750000
3;2;1;1;1;1;0;1;2;0;0;7155;8680000
3;1;1;1;1;1;0;1;1;0;2;8050;8645000
3;2;2;1;1;1;0;1;1;0;2;4560;8645000
3;2;2;1;0;0;0;1;2;0;2;8800;8575000
4;2;2;1;1;1;0;1;2;1;2;6540;8540000
3;2;4;1;1;1;0;1;0;1;1;6000;8463000
3;1;1;1;0;0;0;0;1;0;1;8875;8400000
5;2;2;1;0;1;1;0;2;0;0;7950;8400000
4;2;2;1;0;1;0;1;1;1;1;5500;8400000
3;2;4;1;0;0;0;1;2;0;0;7475;8400000
3;1;4;1;0;0;0;1;2;0;1;7000;8400000
4;2;2;1;0;0;0;1;1;1;2;4880;8295000
3;3;2;1;1;1;0;0;1;0;0;5960;8190000
5;1;2;1;1;1;0;1;1;0;2;6840;8120000
3;2;4;1;0;0;0;1;2;0;2;7000;8080940
3;2;3;1;0;0;1;0;1;1;2;7482;8043000
4;2;4;1;0;0;0;1;2;0;2;9000;7980000
3;1;4;1;1;0;0;1;2;0;0;6000;7962500
4;2;4;1;0;0;0;1;1;0;1;6000;7910000
3;1;2;1;0;1;0;1;0;1;2;6550;7875000
